,loan_amnt,term,int_rate,installment,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,total_acc,initial_list_status,application_type,pub_rec_bankruptcies,address,issue_d_month,issue_d_year,earliest_cr_line_month,earliest_cr_line_year
0,10000.0,36,11.44,329.48,202,10,0,117000.0,0,1,10,26.24,0.0,36369.0,25.0,1,1,0.0,10,1,2015,6,1990
1,8000.0,36,11.99,265.68,94,4 ,3,65000.0,0,1,2,22.05,0.0,20131.0,27.0,0,1,0.0,51,1,2015,7,2004
2,15600.0,36,10.49,506.97,318,0.6,0,43057.0,2,1,1,12.79,0.0,11987.0,26.0,0,1,0.0,343,1,2015,8,2007
3,7200.0,36,6.49,220.65,71,6 ,0,54000.0,0,1,1,2.6,0.0,5472.0,13.0,0,1,0.0,323,11,2014,9,2006
4,24375.0,60,17.27,609.33,108,9 ,3,55000.0,1,2,1,33.95,0.0,24584.0,43.0,0,1,0.0,268,4,2013,3,1999
5,20000.0,36,13.33,677.07,164,10,3,86788.0,1,1,2,16.31,0.0,25757.0,23.0,0,1,0.0,70,9,2015,1,2005
6,18000.0,36,5.32,542.07,308,2 ,3,125000.0,2,1,3,1.36,0.0,4178.0,25.0,0,1,0.0,46,9,2015,8,2005
7,13000.0,36,11.14,426.47,225,10,0,46000.0,0,1,1,26.87,0.0,13425.0,15.0,0,1,0.0,413,9,2012,9,1994
8,18900.0,60,10.99,410.84,18,10,0,103000.0,1,1,2,12.52,0.0,18637.0,40.0,1,1,0.0,417,10,2014,6,1994
9,26300.0,36,16.29,928.4,272,3 ,3,115000.0,1,1,2,23.69,0.0,22171.0,37.0,0,1,0.0,135,4,2012,12,1997
10,10000.0,36,13.11,337.47,307,2 ,0,95000.0,1,1,2,12.04,1.0,4702.0,26.0,0,1,1.0,157,6,2013,12,1990
11,35000.0,36,14.64,1207.13,110,8 ,3,130000.0,1,1,1,12.19,0.0,81263.0,61.0,1,1,0.0,124,5,2014,5,1984
12,7500.0,36,9.17,239.1,305,7 ,1,55000.0,0,1,2,28.21,0.0,17838.0,35.0,1,0,0.0,161,12,2015,4,1995
13,35000.0,60,12.29,783.7,273,10,3,157000.0,1,1,2,29.39,0.0,113091.0,27.0,1,1,0.0,133,4,2015,1,1997
14,25975.0,36,6.62,797.53,264,9 ,3,65000.0,1,1,9,9.18,0.0,5140.0,35.0,0,1,0.0,27,10,2012,5,2001
15,18000.0,36,8.39,567.3,136,8 ,3,45000.0,0,1,5,12.81,0.0,551.0,23.0,1,1,0.0,54,7,2014,9,1994
16,32350.0,60,21.98,893.11,78,10,3,72000.0,1,1,2,18.08,0.0,23603.0,22.0,0,1,0.0,159,2,2013,3,1982
17,11200.0,60,12.29,250.79,253,10,3,81000.0,0,1,2,12.87,1.0,5874.0,20.0,1,1,1.0,190,10,2015,9,1996
18,34000.0,36,7.9,1063.87,245,10,0,130580.0,1,1,2,25.4,0.0,8767.0,36.0,0,1,0.0,97,1,2014,1,1990
19,20000.0,36,6.97,617.27,274,7 ,3,85000.0,0,1,2,18.8,0.0,24195.0,38.0,1,1,0.0,437,3,2016,3,2000
20,9200.0,36,6.62,282.48,241,0.6,0,65000.0,2,1,2,10.81,0.0,6448.0,23.0,1,1,0.0,398,4,2014,1,2006
21,7350.0,36,13.11,248.05,143,10,3,54800.0,0,1,2,7.47,0.0,3240.0,36.0,0,1,0.0,13,6,2013,3,1999
23,20000.0,36,8.39,630.34,226,10,1,55000.0,2,1,2,9.23,0.0,21497.0,18.0,0,1,0.0,129,10,2014,1,2003
24,5000.0,36,15.61,174.83,231,5 ,0,75000.0,1,1,10,13.58,0.0,3120.0,26.0,0,1,0.0,101,9,2015,5,2008
26,8400.0,36,13.35,284.45,34,6 ,0,35000.0,2,2,2,23.08,0.0,6953.0,17.0,0,1,0.0,430,6,2014,6,2004
27,23050.0,36,12.12,766.92,17,3 ,0,80000.0,1,1,2,25.47,0.0,26693.0,23.0,1,1,0.0,201,4,2013,1,1999
28,15000.0,36,9.99,483.94,330,10,3,79000.0,1,1,2,17.27,0.0,13658.0,25.0,0,1,0.0,50,10,2013,4,1994
29,20000.0,36,8.19,628.49,311,10,3,87000.0,2,1,2,15.32,0.0,26330.0,29.0,1,1,0.0,379,11,2014,3,2000
30,13200.0,36,18.75,482.2,213,10,0,71000.0,2,1,8,29.54,0.0,30464.0,35.0,0,1,0.0,72,5,2013,4,1998
31,4600.0,36,12.29,153.43,320,5 ,0,29400.0,0,1,1,29.63,0.0,10112.0,17.0,1,1,0.0,30,2,2015,7,2007
33,20000.0,36,12.29,667.06,295,3 ,0,95000.0,2,1,2,11.82,0.0,16498.0,17.0,0,1,0.0,424,6,2015,10,2007
34,12725.0,36,14.99,441.06,100,10,0,43000.0,0,1,2,28.8,0.0,10264.0,16.0,1,1,0.0,338,6,2014,6,2004
37,15000.0,36,13.67,510.27,127,10,3,90000.0,0,1,2,21.44,0.0,4707.0,40.0,1,1,0.0,391,10,2013,5,1997
38,15000.0,36,13.35,507.95,162,7 ,0,52000.0,1,1,1,11.68,0.0,18391.0,21.0,1,1,0.0,296,6,2014,7,2006
39,10800.0,36,13.98,369.02,299,4 ,0,51840.0,2,1,1,25.6,0.0,15727.0,22.0,1,1,0.0,406,10,2014,9,2003
42,21000.0,60,17.86,531.67,181,2 ,3,80000.0,2,1,2,15.67,0.0,4189.0,35.0,1,1,0.0,162,12,2015,2,2002
43,8400.0,36,12.12,279.49,356,10,0,120000.0,1,1,2,29.56,0.0,28739.0,34.0,0,1,0.0,392,3,2013,1,1992
44,11950.0,60,16.29,292.45,180,10,0,30000.0,2,1,2,13.73,0.0,2975.0,15.0,1,1,0.0,4,10,2014,8,2001
45,6700.0,36,21.49,254.12,160,0.6,0,21000.0,1,1,2,10.86,0.0,5832.0,21.0,1,1,0.0,408,6,2016,12,2010
46,16000.0,36,12.99,539.03,237,10,3,78000.0,2,1,2,23.31,0.0,18863.0,23.0,0,1,0.0,252,3,2014,10,1999
47,20000.0,36,13.67,680.36,193,10,3,64000.0,1,1,2,21.91,0.0,28236.0,37.0,1,1,0.0,234,11,2013,9,2004
48,16000.0,60,18.54,411.01,2,3 ,0,40000.0,2,2,2,37.26,0.0,13179.0,20.0,1,1,0.0,295,12,2014,9,2003
50,12875.0,36,17.1,459.67,93,8 ,1,58000.0,0,1,6,16.88,0.0,11417.0,16.0,0,1,0.0,280,9,2013,7,2003
51,15000.0,60,18.25,382.95,278,8 ,3,75000.0,2,1,2,24.43,0.0,41310.0,23.0,1,1,0.0,203,5,2016,4,1995
